pointsTotal,franchise_id,name,logo,seed,clinch,qual,record,apPct,ppg,pot,off,deff,wins,predPct,finish,playoffSeed,odds,div,bye,playoffProbability,divisionProbability,byeProbability,projectedPotentialPoints
397.4,0002,New York Giants,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,11,,,0-2,0.4838709677419355,198.7,240.29999999999998,76.5,122.2,6.6066666666666665,47.85645161290323,11,NA,16%,2%,0%,0.163,0.019,0.005,2761.3198662513687
353.6,0006,Detroit Lions,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,12,,,1-1,0.3548387096774194,176.8,210.95,62.29999999999999,114.5,6.4565,41.592473118279564,13,NA,13%,7%,0%,0.13,0.07466666666666667,0.0006666666666666666,2656.491153037334
360.1,0015,San Francisco 49ers,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,13,,,1-1,0.3387096774193548,180.1,239.10000000000002,80.1,99.95,7.957666666666666,46.049193548387095,12,NA,41%,35%,0%,0.4063333333333333,0.351,0.0016666666666666668,2769.0850121408694
335.4,0014,Los Angeles Rams,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,14,,,1-1,0.3064516129032258,167.7,213.55,78.1,89.6,6.207333333333334,39.505645161290325,15,NA,14%,12%,0%,0.13966666666666666,0.11533333333333333,0.0,2611.7555881606886
291.4,0016,Seattle Seahawks,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,15,,,1-1,0.16129032258064516,145.7,199.5,71.85,73.85,6.245333333333333,38.084587813620075,16,NA,13%,11%,0%,0.13,0.10633333333333334,0.0,2597.041930112727
241.4,0008,Minnesota Vikings,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,16,,,0-2,0.024193548387096774,120.7,186.1,47.65,73.05000000000001,6.3815,40.832078853046596,14,NA,13%,6%,0%,0.128,0.06466666666666666,0.0,2646.150315107882
497.7,0018,Miami Dolphins,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,,y,2-0,0.9193548387096774,248.8,265.55,118.05,130.8,10.1625,56.54229390681004,3,3,70%,50%,13%,0.7046666666666667,0.503,0.12833333333333333,2845.9738647729178
497.20000000000005,0027,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,2,,x,1-1,0.7419354838709677,248.6,308.95,138.65,109.94999999999999,11.113666666666667,62.03512544802867,1,1,85%,44%,35%,0.8453333333333334,0.44266666666666665,0.35233333333333333,3059.840286988731
430.2,0026,Indianapolis Colts,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,3,,y,2-0,0.6774193548387096,215.1,252.55,116.35,98.75,10.421166666666666,54.58844086021505,4,4,70%,33%,9%,0.697,0.33066666666666666,0.08866666666666667,2850.4501070065903
433.70000000000005,0025,Houston Texans,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,4,,x,2-0,0.6612903225806451,216.9,254.25,145.5,71.35,9.176,50.571236559139784,5,5,51%,17%,3%,0.5056666666666667,0.17,0.03333333333333333,2790.5404805401504
438.8,0031,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,5,,y,2-0,0.6290322580645161,219.4,237.75,90.95,128.45,9.664,50.46173835125448,6,6,61%,47%,3%,0.6073333333333333,0.4736666666666667,0.030666666666666665,2762.6390998864667
417.6,0023,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,6,,y,2-0,0.6290322580645161,208.8,253.15,96.10000000000001,112.69999999999999,11.756666666666666,59.30958781362007,2,2,88%,73%,21%,0.8753333333333333,0.731,0.213,2924.958772280238
382.8,0021,Baltimore Ravens,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,7,,x,2-0,0.4274193548387097,191.4,228.25,72.05000000000001,119.35,9.019166666666667,48.280913978494624,7,7,47%,21%,2%,0.4723333333333333,0.21366666666666667,0.021666666666666667,2747.183378875413
420.0,0017,Buffalo Bills,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,8,,,1-1,0.6129032258064516,210.0,272.95,98.7,111.3,8.9695,51.148655913978494,8,NA,50%,29%,3%,0.5,0.289,0.03233333333333333,2841.082419947422
422.6,0029,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,9,,,1-1,0.6048387096774194,211.3,255.39999999999998,134.7,76.6,7.258,46.144892473118276,13,NA,26%,15%,1%,0.25866666666666666,0.15366666666666667,0.011333333333333334,2714.731990202881
385.5,0020,New York Jets,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,10,,,0-2,0.46774193548387094,192.8,253.8,83.45,109.3,8.101666666666667,51.023835125448024,9,NA,38%,19%,3%,0.384,0.193,0.034333333333333334,2846.724118071613
384.5,0032,Los Angeles Chargers,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,11,,,1-1,0.46774193548387094,192.2,278.3,82.3,109.95,7.951333333333333,47.455017921146954,11,NA,35%,22%,1%,0.347,0.21866666666666668,0.014,2838.6087809199043
342.4,0030,Kansas City Chiefs,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,12,,,0-2,0.3225806451612903,171.2,213.6,94.25,76.94999999999999,7.374666666666666,47.295519713261655,12,NA,28%,15%,1%,0.2753333333333333,0.154,0.012333333333333333,2742.9788281145943
349.6,0019,New England Patriots,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,13,,,0-2,0.31451612903225806,174.8,209.5,79.10000000000001,95.7,4.815833333333333,37.42051971326165,16,NA,4%,2%,0%,0.03866666666666667,0.015,0.0013333333333333333,2573.48147985448
331.8,0028,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,14,,,0-2,0.2903225806451613,165.9,213.2,77.70000000000002,88.19999999999999,7.5455,49.87007168458782,10,NA,29%,6%,2%,0.286,0.056666666666666664,0.023333333333333334,2758.1423880278653
299.3,0022,Cincinnati Bengals,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,15,,,0-2,0.13709677419354838,149.7,197.35,69.9,79.75,6.1611666666666665,41.73028673835126,14,NA,12%,3%,0%,0.11533333333333333,0.031,0.002,2644.486123437246
300.0,0024,Pittsburgh Steelers,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,16,,,0-2,0.12903225806451613,150.0,215.64999999999998,62.900000000000006,87.1,5.936166666666667,39.838530465949816,15,NA,9%,2%,0%,0.08733333333333333,0.024333333333333332,0.001,2673.0044055237768
